year,country,iso3,region,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,solar_pct,wind_pct,other_renewables_pct,renewables_total_pct,fossil_total_pct
2009,Saudi Arabia,SAU,MENA,1.17,47.11,42.81,1.46,1.0,1.77,1.97,2.72,7.45,91.09
2010,Saudi Arabia,SAU,MENA,1.08,48.19,44.2,0.83,1.31,2.77,1.13,0.51,5.71,93.46
2011,Saudi Arabia,SAU,MENA,1.89,45.76,42.14,2.24,2.36,2.28,1.08,2.24,7.96,89.8
2012,Saudi Arabia,SAU,MENA,2.32,46.83,42.23,2.91,2.0,1.74,0.0,1.98,5.71,91.38
2013,Saudi Arabia,SAU,MENA,0.73,48.19,46.08,0.44,0.0,2.91,0.0,1.66,4.57,95.0
2014,Saudi Arabia,SAU,MENA,0.0,47.68,46.32,1.63,0.21,1.54,0.56,2.05,4.37,94.0
2015,Saudi Arabia,SAU,MENA,1.37,45.46,44.19,2.44,1.18,1.22,0.76,3.38,6.54,91.02
2016,Saudi Arabia,SAU,MENA,0.0,46.22,44.07,1.08,1.18,4.15,0.69,2.62,8.64,90.29
2017,Saudi Arabia,SAU,MENA,0.87,45.77,43.75,0.0,1.26,5.25,1.1,2.01,9.62,90.38
2018,Saudi Arabia,SAU,MENA,0.56,44.14,43.85,2.87,2.37,4.07,0.69,1.45,8.58,88.55
2019,Saudi Arabia,SAU,MENA,0.26,47.46,46.38,1.11,0.75,2.31,0.73,1.01,4.8,94.09
2020,Saudi Arabia,SAU,MENA,0.0,47.72,46.56,0.4,2.01,2.03,0.0,1.29,5.32,94.28
2021,Saudi Arabia,SAU,MENA,1.1,46.45,44.54,0.08,0.99,3.6,2.36,0.87,7.83,92.09
2022,Saudi Arabia,SAU,MENA,0.9,46.1,42.82,1.49,1.57,4.74,1.09,1.29,8.69,89.82
2023,Saudi Arabia,SAU,MENA,1.06,43.53,43.84,2.93,2.14,4.57,1.68,0.24,8.63,88.44
2024,Saudi Arabia,SAU,MENA,0.7,44.12,44.26,0.22,0.49,6.47,0.97,2.76,10.7,89.09
2025,Saudi Arabia,SAU,MENA,1.18,44.56,43.83,1.9,2.31,3.7,0.6,1.92,8.52,89.57
2026,Saudi Arabia,SAU,MENA,0.88,44.79,46.31,2.12,0.55,5.25,0.0,0.11,5.91,91.98
2000,Canada,CAN,North America,22.84,39.27,24.81,7.52,2.0,0.47,0.0,3.09,5.55,86.93
2001,Canada,CAN,North America,19.57,38.13,23.54,8.02,4.63,1.9,0.0,4.21,10.75,81.23
2002,Canada,CAN,North America,20.44,37.26,26.3,9.46,3.69,0.0,1.2,1.64,6.53,84.01
2003,Canada,CAN,North America,19.92,37.02,26.62,7.91,2.9,0.53,0.73,4.37,8.52,83.56
2004,Canada,CAN,North America,19.89,36.6,26.8,8.78,2.43,0.86,2.07,2.58,7.94,83.28
2005,Canada,CAN,North America,21.12,35.51,26.58,7.05,5.19,0.65,0.65,3.25,9.74,83.21
2006,Canada,CAN,North America,19.15,36.83,27.58,4.54,3.1,1.42,2.46,4.92,11.91,83.56
2007,Canada,CAN,North America,18.09,37.29,26.66,8.79,2.43,0.43,1.43,4.87,9.17,82.04
2008,Canada,CAN,North America,17.45,36.76,26.68,8.83,2.29,2.02,2.01,3.95,10.28,80.89
2009,Canada,CAN,North America,17.43,35.23,29.38,9.74,2.42,0.24,2.58,2.98,8.22,82.03
2010,Canada,CAN,North America,16.51,36.3,28.43,7.74,2.9,3.78,2.34,2.0,11.03,81.23
2011,Canada,CAN,North America,15.26,36.51,28.82,6.6,3.73,3.31,2.23,3.54,12.8,80.6
2012,Canada,CAN,North America,15.93,36.31,30.62,5.47,2.8,3.33,2.39,3.15,11.67,82.86
2013,Canada,CAN,North America,15.75,35.09,31.52,9.13,2.88,2.8,0.15,2.67,8.51,82.36
2014,Canada,CAN,North America,12.65,33.77,29.48,8.39,4.24,3.09,5.32,3.05,15.7,75.9
2015,Canada,CAN,North America,13.07,35.21,31.5,8.9,2.13,3.28,3.42,2.49,11.31,79.78
2016,Canada,CAN,North America,14.26,35.12,32.47,7.71,4.22,2.34,2.31,1.56,10.44,81.85
2017,Canada,CAN,North America,12.92,35.46,31.1,7.56,2.8,4.52,3.46,2.17,12.95,79.49
2018,Canada,CAN,North America,10.89,33.05,32.88,8.04,2.24,5.35,3.54,4.01,15.15,76.81
2019,Canada,CAN,North America,12.67,32.38,29.63,9.9,3.26,3.91,5.14,3.12,15.42,74.69
2020,Canada,CAN,North America,12.47,32.54,32.83,6.78,3.65,4.57,4.87,2.3,15.38,77.84
2021,Canada,CAN,North America,10.28,31.78,33.33,9.34,2.4,5.31,5.2,2.36,15.27,75.39
2022,Canada,CAN,North America,9.2,33.71,34.84,6.25,4.7,5.8,5.38,0.13,16.01,77.74
2023,Canada,CAN,North America,7.71,32.33,35.43,7.22,3.82,4.78,5.3,3.41,17.31,75.47
2024,Canada,CAN,North America,8.52,30.99,34.77,7.85,3.99,4.73,6.77,2.37,17.87,74.28
2025,Canada,CAN,North America,9.08,32.73,34.5,8.09,2.59,6.81,5.63,0.59,15.61,76.3
2026,Canada,CAN,North America,6.52,31.25,36.77,7.07,3.41,6.33,6.13,2.52,18.39,74.54
2000,Mexico,MEX,North America,22.04,35.11,24.55,8.38,4.62,1.68,0.0,3.63,9.92,81.69
2001,Mexico,MEX,North America,18.91,37.34,25.08,7.94,3.01,1.53,1.37,4.83,10.74,81.33
2002,Mexico,MEX,North America,20.57,35.78,25.53,8.48,2.7,0.11,1.53,5.3,9.64,81.87
2003,Mexico,MEX,North America,19.22,36.27,25.95,8.31,2.43,2.52,1.09,4.21,10.25,81.44
2004,Mexico,MEX,North America,21.6,36.61,26.44,6.74,2.83,0.0,1.67,4.11,8.61,84.65
2005,Mexico,MEX,North America,19.09,36.86,27.77,6.89,3.21,1.86,0.0,4.31,9.39,83.73
2006,Mexico,MEX,North America,17.87,38.16,27.33,9.86,1.93,0.0,1.59,3.27,6.78,83.36
2007,Mexico,MEX,North America,16.96,37.43,26.06,7.06,2.46,2.45,2.95,4.63,12.49,80.45
2008,Mexico,MEX,North America,17.67,33.98,28.68,9.54,4.27,2.33,0.66,2.88,10.13,80.33
2009,Mexico,MEX,North America,18.96,34.27,27.13,8.88,2.55,0.89,3.58,3.74,10.76,80.35
2010,Mexico,MEX,North America,15.95,33.95,30.36,7.84,4.32,3.15,1.76,2.67,11.89,80.27
2011,Mexico,MEX,North America,17.64,37.17,27.54,8.61,2.9,1.52,2.82,1.82,9.05,82.35
2012,Mexico,MEX,North America,14.92,34.09,28.82,7.85,1.96,4.3,3.23,4.82,14.32,77.83
2013,Mexico,MEX,North America,14.77,34.28,31.6,7.39,2.81,3.7,1.75,3.69,11.96,80.66
2014,Mexico,MEX,North America,14.51,34.77,30.17,8.97,2.79,2.28,5.15,1.35,11.57,79.46
2015,Mexico,MEX,North America,12.81,35.97,33.2,8.39,4.1,1.5,3.04,1.0,9.63,81.98
2016,Mexico,MEX,North America,14.1,32.6,29.73,8.47,4.04,3.52,4.24,3.29,15.09,76.43
2017,Mexico,MEX,North America,12.56,32.79,31.91,8.56,3.87,4.21,2.74,3.36,14.18,77.26
2018,Mexico,MEX,North America,12.73,34.51,32.71,7.56,4.02,2.83,3.27,2.37,12.49,79.95
2019,Mexico,MEX,North America,13.39,34.68,30.68,9.36,4.35,3.21,1.86,2.47,11.89,78.75
2020,Mexico,MEX,North America,12.14,34.38,31.28,9.59,0.76,4.17,4.13,3.55,12.61,77.8
2021,Mexico,MEX,North America,12.04,34.25,31.86,8.9,3.52,3.19,2.79,3.44,12.94,78.16
2022,Mexico,MEX,North America,9.98,31.66,33.27,8.37,2.92,3.53,6.97,3.31,16.73,74.91
2023,Mexico,MEX,North America,9.63,33.62,35.5,7.13,3.45,4.13,5.44,1.1,14.11,78.76
2024,Mexico,MEX,North America,8.05,34.51,34.69,8.3,1.0,5.0,6.07,2.38,14.45,77.25
2025,Mexico,MEX,North America,6.74,34.25,36.93,9.8,2.48,3.72,5.04,1.03,12.27,77.92
2026,Mexico,MEX,North America,9.04,30.3,35.75,9.75,3.11,7.13,4.51,0.41,15.17,75.08
2000,Brazil,BRA,LatAm,6.23,46.6,3.98,0.77,34.71,0.0,0.24,7.48,42.42,56.81
2001,Brazil,BRA,LatAm,6.03,47.0,3.71,0.67,35.28,0.0,0.0,7.32,42.6,56.74
2002,Brazil,BRA,LatAm,6.09,46.67,4.31,1.01,34.41,0.0,0.18,7.32,41.92,57.07
2003,Brazil,BRA,LatAm,6.07,46.39,4.79,0.78,34.21,0.0,0.23,7.52,41.96,57.26
2004,Brazil,BRA,LatAm,5.52,46.34,5.01,1.22,33.81,0.35,0.0,7.75,41.91,56.87
2005,Brazil,BRA,LatAm,5.31,46.48,5.12,1.25,33.84,0.0,0.27,7.73,41.84,56.92
2006,Brazil,BRA,LatAm,5.55,46.88,5.26,0.85,33.39,0.0,0.11,7.96,41.46,57.69
2007,Brazil,BRA,LatAm,5.35,45.85,5.75,0.85,33.31,0.13,0.52,8.24,42.21,56.95
2008,Brazil,BRA,LatAm,5.27,46.26,5.45,1.18,33.48,0.3,0.07,7.99,41.84,56.98
2009,Brazil,BRA,LatAm,5.29,45.79,5.93,1.22,33.25,0.0,0.24,8.29,41.77,57.01
2010,Brazil,BRA,LatAm,4.91,45.92,5.86,0.95,32.99,0.38,0.42,8.58,42.36,56.69
2011,Brazil,BRA,LatAm,5.15,46.05,6.34,0.69,32.56,0.04,1.23,7.94,41.77,57.54
2012,Brazil,BRA,LatAm,5.29,44.89,7.14,1.21,31.69,0.0,1.79,7.99,41.46,57.32
2013,Brazil,BRA,LatAm,5.45,44.87,7.64,1.09,31.33,0.0,2.04,7.58,40.95,57.96
2014,Brazil,BRA,LatAm,5.93,44.75,8.53,0.94,30.91,0.0,2.25,6.69,39.85,59.21
2015,Brazil,BRA,LatAm,6.03,44.12,9.14,0.61,30.07,0.09,2.81,7.13,40.1,59.29
2016,Brazil,BRA,LatAm,5.68,42.76,9.31,1.19,30.19,0.04,4.1,6.72,41.06,57.75
2017,Brazil,BRA,LatAm,5.43,41.82,9.38,0.99,30.38,0.03,5.54,6.43,42.38,56.63
2018,Brazil,BRA,LatAm,5.05,40.54,9.83,1.12,30.56,0.41,6.63,5.86,43.46,55.42
2019,Brazil,BRA,LatAm,5.2,39.03,9.55,1.08,30.79,0.84,7.8,5.72,45.14,53.78
2020,Brazil,BRA,LatAm,4.84,37.94,9.77,1.21,30.99,0.93,9.26,5.05,46.23,52.55
2021,Brazil,BRA,LatAm,4.58,37.98,9.99,1.19,30.58,1.47,9.8,4.4,46.26,52.55
2022,Brazil,BRA,LatAm,4.95,37.88,9.45,1.23,30.29,2.19,10.12,3.89,46.5,52.27
2023,Brazil,BRA,LatAm,4.45,38.2,9.07,0.82,30.27,2.37,11.16,3.66,47.47,51.71
2024,Brazil,BRA,LatAm,3.94,38.04,8.84,1.01,29.97,2.97,11.86,3.37,48.17,50.82
2025,Brazil,BRA,LatAm,3.92,37.2,8.53,0.81,29.87,3.85,12.88,2.94,49.53,49.66
2026,Brazil,BRA,LatAm,2.82,37.39,7.38,0.92,30.12,3.88,14.23,3.25,51.49,47.59
2000,South Africa,ZAF,Africa,74.62,13.4,2.71,3.25,1.03,0.0,0.0,4.99,6.02,90.73
2001,South Africa,ZAF,Africa,75.45,12.8,2.97,2.87,0.76,0.0,0.0,5.15,5.91,91.22
2002,South Africa,ZAF,Africa,74.54,12.76,3.38,2.55,1.09,0.0,0.16,5.52,6.77,90.68
2003,South Africa,ZAF,Africa,74.92,12.78,2.86,3.13,0.63,0.16,0.0,5.52,6.3,90.56
2004,South Africa,ZAF,Africa,73.57,12.4,3.22,3.6,1.23,0.0,0.12,5.86,7.21,89.19
2005,South Africa,ZAF,Africa,74.68,12.31,3.0,3.18,0.68,0.0,0.12,6.04,6.83,89.99
2006,South Africa,ZAF,Africa,74.87,12.15,3.48,2.7,0.6,0.0,0.0,6.21,6.8,90.5
2007,South Africa,ZAF,Africa,74.41,12.28,2.84,3.09,0.94,0.22,0.0,6.22,7.38,89.53
2008,South Africa,ZAF,Africa,74.22,12.22,2.76,2.74,1.11,0.0,0.28,6.66,8.06,89.2
2009,South Africa,ZAF,Africa,74.45,11.95,3.17,3.01,0.87,0.04,0.0,6.5,7.41,89.57
2010,South Africa,ZAF,Africa,73.93,12.09,3.01,3.22,0.82,0.12,0.0,6.83,7.76,89.03
2011,South Africa,ZAF,Africa,73.61,12.04,2.89,3.22,0.98,0.07,0.12,7.07,8.24,88.54
2012,South Africa,ZAF,Africa,72.73,11.89,2.81,3.37,1.15,0.24,0.3,7.52,9.2,87.43
2013,South Africa,ZAF,Africa,71.86,11.54,3.17,3.23,0.72,0.2,1.04,8.25,10.2,86.57
2014,South Africa,ZAF,Africa,71.27,12.13,2.64,3.85,0.89,0.24,0.83,8.14,10.11,86.04
2015,South Africa,ZAF,Africa,70.59,11.68,3.03,3.85,0.92,0.56,0.78,8.58,10.85,85.3
2016,South Africa,ZAF,Africa,70.0,11.74,3.13,3.99,0.85,0.71,1.35,8.23,11.14,84.87
2017,South Africa,ZAF,Africa,69.69,11.71,3.33,4.04,0.8,0.81,1.74,7.87,11.22,84.74
2018,South Africa,ZAF,Africa,69.21,11.35,3.55,3.91,1.6,0.97,1.79,7.62,11.98,84.11
2019,South Africa,ZAF,Africa,68.12,11.4,3.64,4.23,1.14,1.25,2.53,7.69,12.61,83.16
2020,South Africa,ZAF,Africa,67.63,10.99,3.83,3.93,1.38,1.54,3.15,7.55,13.62,82.45
2021,South Africa,ZAF,Africa,66.55,10.98,4.41,4.13,1.05,1.73,3.56,7.58,13.93,81.95
2022,South Africa,ZAF,Africa,65.09,11.47,4.17,4.17,0.82,2.26,4.49,7.52,15.09,80.74
2023,South Africa,ZAF,Africa,64.59,11.08,4.61,4.21,0.9,2.78,4.27,7.57,15.51,80.28
2024,South Africa,ZAF,Africa,63.53,10.78,5.35,3.73,0.8,3.11,4.93,7.77,16.6,79.67
2025,South Africa,ZAF,Africa,61.83,10.79,4.95,3.95,1.14,3.84,5.33,8.17,18.48,77.57
2026,South Africa,ZAF,Africa,60.18,11.19,4.78,4.42,0.85,4.51,5.79,8.27,19.43,76.15
2000,Turkey,TUR,MENA,0.13,50.51,45.93,0.02,1.75,0.0,0.0,1.66,3.4,96.58
2001,Turkey,TUR,MENA,1.98,49.65,44.56,0.0,0.0,0.0,1.34,2.47,3.81,96.19
2002,Turkey,TUR,MENA,0.14,48.87,44.01,0.11,1.45,0.1,2.15,3.16,6.86,93.02
2003,Turkey,TUR,MENA,2.22,48.12,42.82,1.53,0.63,2.12,0.5,2.06,5.31,93.16
2004,Turkey,TUR,MENA,1.13,51.22,43.78,2.85,0.82,0.0,0.0,0.2,1.01,96.13
2005,Turkey,TUR,MENA,1.66,48.29,45.44,2.15,0.33,0.7,0.0,1.43,2.46,95.4
2006,Turkey,TUR,MENA,3.47,48.24,43.49,0.38,0.93,1.25,0.0,2.24,4.41,95.21
2007,Turkey,TUR,MENA,0.05,48.66,46.29,0.0,1.76,1.36,0.0,1.88,5.0,95.0
2008,Turkey,TUR,MENA,0.0,49.04,44.64,2.84,2.07,0.48,0.0,0.93,3.48,93.68
2009,Turkey,TUR,MENA,0.0,48.94,43.95,1.89,0.7,1.52,0.31,2.7,5.22,92.89
2010,Turkey,TUR,MENA,1.33,47.52,47.12,0.71,0.55,0.0,1.03,1.73,3.32,95.97
2011,Turkey,TUR,MENA,1.09,47.21,44.17,0.63,1.45,2.74,0.19,2.51,6.9,92.48
2012,Turkey,TUR,MENA,0.97,49.51,47.42,0.0,1.29,0.8,0.0,0.0,2.1,97.9
2013,Turkey,TUR,MENA,0.8,47.41,43.33,1.59,3.24,2.8,0.0,0.84,6.88,91.53
2014,Turkey,TUR,MENA,1.02,47.54,45.27,2.02,2.06,1.06,0.0,1.02,4.14,93.83
2015,Turkey,TUR,MENA,1.55,46.66,46.12,0.52,0.56,3.36,0.0,1.24,5.16,94.32
2016,Turkey,TUR,MENA,0.6,45.53,46.37,0.84,2.33,3.17,0.0,1.16,6.66,92.5
2017,Turkey,TUR,MENA,0.0,47.21,47.33,0.78,1.99,1.35,0.43,0.9,4.67,94.54
2018,Turkey,TUR,MENA,1.9,45.83,44.31,2.47,0.61,4.66,0.0,0.22,5.49,92.04
2019,Turkey,TUR,MENA,1.73,44.18,44.9,1.09,2.04,3.54,0.78,1.75,8.11,90.81
2020,Turkey,TUR,MENA,0.34,45.57,45.59,0.97,0.59,3.77,2.37,0.79,7.53,91.5
2021,Turkey,TUR,MENA,0.52,43.79,44.48,1.64,1.82,4.1,1.74,1.9,9.57,88.79
2022,Turkey,TUR,MENA,2.0,44.31,44.14,0.79,0.0,4.64,1.54,2.58,8.76,90.45
2023,Turkey,TUR,MENA,2.21,46.12,44.27,1.19,0.0,4.59,0.32,1.29,6.2,92.61
2024,Turkey,TUR,MENA,1.02,44.25,43.33,1.87,0.0,4.64,2.05,2.84,9.53,88.6
2025,Turkey,TUR,MENA,1.7,46.04,44.36,0.98,1.5,4.72,0.18,0.51,6.91,92.1
2026,Turkey,TUR,MENA,0.0,46.04,45.51,0.65,0.44,5.57,1.8,0.0,7.8,91.55
2000,Australia,AUS,Oceania,37.4,34.73,15.09,0.53,6.39,1.56,0.71,3.58,12.25,87.22
2001,Australia,AUS,Oceania,40.76,32.06,16.44,0.84,4.6,1.91,0.34,3.05,9.9,89.26
2002,Australia,AUS,Oceania,37.48,33.8,16.54,0.27,4.19,2.32,1.41,3.99,11.91,87.83
2003,Australia,AUS,Oceania,35.31,32.1,17.01,2.84,6.15,1.49,1.55,3.54,12.73,84.42
2004,Australia,AUS,Oceania,35.3,36.13,17.55,0.0,5.1,3.97,0.79,1.16,11.02,88.98
2005,Australia,AUS,Oceania,34.21,30.82,16.64,1.14,5.37,4.34,2.45,5.03,17.19,81.67
2006,Australia,AUS,Oceania,32.71,33.29,16.77,0.93,4.8,5.71,1.73,4.06,16.3,82.77
2007,Australia,AUS,Oceania,33.7,33.46,18.26,0.26,5.33,4.62,1.98,2.38,14.31,85.43
2008,Australia,AUS,Oceania,31.4,35.17,17.11,0.0,5.79,6.54,1.34,2.67,16.33,83.67
2009,Australia,AUS,Oceania,32.35,33.89,19.71,0.0,3.0,7.16,2.97,0.91,14.05,85.95
2010,Australia,AUS,Oceania,30.16,34.23,16.85,2.33,4.15,6.99,2.62,2.65,16.42,81.25
2011,Australia,AUS,Oceania,28.0,30.01,20.16,0.0,4.31,8.21,5.78,3.54,21.83,78.17
2012,Australia,AUS,Oceania,28.39,34.26,17.18,0.94,3.5,7.81,4.8,3.11,19.23,79.83
2013,Australia,AUS,Oceania,26.18,32.7,18.48,0.62,3.62,10.28,4.03,4.07,22.02,77.36
2014,Australia,AUS,Oceania,27.42,31.5,18.86,0.0,4.61,10.36,6.06,1.19,22.22,77.78
2015,Australia,AUS,Oceania,25.3,29.6,19.15,0.0,6.13,11.57,5.3,2.95,25.95,74.05
2016,Australia,AUS,Oceania,25.5,33.61,18.49,0.65,3.51,9.66,6.3,2.27,21.75,77.6
2017,Australia,AUS,Oceania,23.08,29.98,20.11,0.15,5.05,11.54,7.27,2.82,26.68,73.16
2018,Australia,AUS,Oceania,23.21,32.38,17.31,0.0,4.94,12.3,7.53,2.34,27.11,72.89
2019,Australia,AUS,Oceania,23.07,31.12,19.83,0.0,5.57,11.66,7.92,0.83,25.97,74.03
2020,Australia,AUS,Oceania,21.02,33.04,20.14,0.0,4.46,12.73,6.18,2.42,25.8,74.2
2021,Australia,AUS,Oceania,20.68,31.88,20.33,0.0,4.8,13.67,7.75,0.88,27.11,72.89
2022,Australia,AUS,Oceania,18.2,31.2,19.64,3.1,3.69,15.27,7.12,1.79,27.87,69.03
2023,Australia,AUS,Oceania,18.05,32.33,19.76,0.0,4.7,14.94,8.43,1.78,29.86,70.14
2024,Australia,AUS,Oceania,17.12,31.17,19.68,0.0,3.3,17.28,8.6,2.84,32.03,67.97
2025,Australia,AUS,Oceania,17.25,29.96,18.84,0.0,5.34,16.97,9.04,2.6,33.95,66.05
2026,Australia,AUS,Oceania,16.03,30.68,18.98,0.47,4.38,18.84,10.5,0.11,33.84,65.69
2000,United Kingdom,GBR,Europe,16.02,36.11,39.14,8.03,0.1,0.26,0.08,0.26,0.7,91.27
2001,United Kingdom,GBR,Europe,15.82,36.13,39.54,7.74,0.67,0.0,0.0,0.09,0.76,91.5
2002,United Kingdom,GBR,Europe,15.58,36.02,39.72,7.63,0.37,0.0,0.49,0.19,1.05,91.32
2003,United Kingdom,GBR,Europe,15.62,36.07,39.48,7.27,0.5,0.06,0.48,0.52,1.55,91.18
2004,United Kingdom,GBR,Europe,15.63,35.79,39.55,7.15,0.8,0.0,0.53,0.55,1.88,90.97
2005,United Kingdom,GBR,Europe,15.73,35.6,40.01,6.72,0.49,0.25,0.75,0.45,1.94,91.34
2006,United Kingdom,GBR,Europe,15.36,35.36,40.36,6.91,0.59,0.0,0.87,0.55,2.02,91.08
2007,United Kingdom,GBR,Europe,15.0,35.21,40.26,6.91,0.31,0.11,1.55,0.64,2.62,90.47
2008,United Kingdom,GBR,Europe,15.12,35.43,40.57,6.42,0.19,0.13,1.55,0.59,2.46,91.12
2009,United Kingdom,GBR,Europe,15.13,35.09,40.73,6.35,0.46,0.0,1.91,0.34,2.71,90.94
2010,United Kingdom,GBR,Europe,14.84,35.05,41.35,6.02,0.07,0.0,2.25,0.41,2.74,91.24
2011,United Kingdom,GBR,Europe,15.02,34.66,39.56,6.54,0.0,0.64,2.5,1.08,4.22,89.24
2012,United Kingdom,GBR,Europe,15.29,34.34,38.71,6.76,0.63,0.82,2.79,0.65,4.89,88.34
2013,United Kingdom,GBR,Europe,15.67,34.28,37.26,7.39,0.75,1.11,3.16,0.37,5.4,87.21
2014,United Kingdom,GBR,Europe,15.86,34.24,36.38,7.51,0.5,1.0,3.36,1.15,6.01,86.48
2015,United Kingdom,GBR,Europe,15.68,33.72,34.91,8.12,0.65,1.55,4.11,1.26,7.58,84.31
2016,United Kingdom,GBR,Europe,13.29,33.45,35.31,8.14,0.37,2.43,5.39,1.62,9.81,82.05
2017,United Kingdom,GBR,Europe,10.6,33.49,35.75,8.16,0.21,2.64,6.95,2.21,12.0,79.84
2018,United Kingdom,GBR,Europe,7.88,33.03,35.81,8.14,0.67,3.26,8.27,2.94,15.14,76.72
2019,United Kingdom,GBR,Europe,4.65,33.17,36.76,8.21,0.27,3.87,9.58,3.49,17.22,74.57
2020,United Kingdom,GBR,Europe,2.01,33.02,37.39,7.92,0.44,4.2,10.9,4.12,19.66,72.42
2021,United Kingdom,GBR,Europe,1.82,32.91,36.9,8.43,0.35,4.43,11.3,3.86,19.95,71.62
2022,United Kingdom,GBR,Europe,1.3,32.35,36.56,8.27,0.6,5.4,11.87,3.65,21.52,70.21
2023,United Kingdom,GBR,Europe,1.47,32.04,36.28,8.14,0.48,5.24,12.33,4.02,22.06,69.79
2024,United Kingdom,GBR,Europe,1.21,32.13,35.97,7.78,0.34,5.6,13.12,3.85,22.91,69.31
2025,United Kingdom,GBR,Europe,0.06,31.66,35.41,8.16,0.35,5.82,14.07,4.48,24.71,67.13
2026,United Kingdom,GBR,Europe,0.15,31.08,35.13,7.66,0.28,6.01,15.37,4.31,25.97,66.37
2000,France,FRA,Europe,5.09,33.1,13.72,41.04,5.37,0.03,0.0,1.65,7.05,51.91
2001,France,FRA,Europe,5.21,32.89,13.93,41.07,4.77,0.02,0.24,1.86,6.9,52.03
2002,France,FRA,Europe,4.93,32.28,14.55,40.75,5.58,0.0,0.22,1.69,7.49,51.76
2003,France,FRA,Europe,4.69,32.01,14.77,40.94,5.07,0.0,0.53,1.99,7.59,51.47
2004,France,FRA,Europe,5.07,31.64,14.8,40.93,4.83,0.06,0.97,1.71,7.56,51.51
2005,France,FRA,Europe,4.97,31.69,14.85,41.07,4.86,0.41,0.67,1.49,7.43,51.51
2006,France,FRA,Europe,4.26,31.16,15.36,41.05,5.08,0.28,1.35,1.46,8.17,50.78
2007,France,FRA,Europe,3.93,31.01,15.21,41.01,5.03,0.4,1.59,1.82,8.83,50.15
2008,France,FRA,Europe,4.22,30.37,15.55,40.69,4.94,0.92,1.63,1.68,9.17,50.14
2009,France,FRA,Europe,3.92,30.22,15.81,40.77,5.0,0.65,2.04,1.59,9.27,49.95
2010,France,FRA,Europe,4.0,30.35,15.91,41.08,5.02,0.15,2.18,1.31,8.66,50.25
2011,France,FRA,Europe,3.72,30.3,15.68,41.32,5.01,0.69,2.12,1.15,8.97,49.7
2012,France,FRA,Europe,3.84,30.18,15.26,41.58,5.12,0.61,2.32,1.09,9.13,49.28
2013,France,FRA,Europe,3.62,30.71,14.58,41.56,5.18,0.86,2.59,0.9,9.53,48.91
2014,France,FRA,Europe,3.11,31.19,14.25,41.69,4.82,1.4,2.96,0.58,9.76,48.55
2015,France,FRA,Europe,3.01,31.01,13.86,42.47,4.92,1.02,3.37,0.34,9.66,47.87
2016,France,FRA,Europe,2.76,30.83,14.42,41.5,4.77,1.58,3.48,0.67,10.5,48.0
2017,France,FRA,Europe,2.66,29.67,14.79,40.38,5.09,2.33,4.39,0.7,12.51,47.11
2018,France,FRA,Europe,2.23,29.4,15.24,40.57,5.04,2.47,4.2,0.86,12.57,46.86
2019,France,FRA,Europe,2.46,28.38,15.63,39.48,5.01,2.91,5.0,1.13,14.05,46.47
2020,France,FRA,Europe,2.11,28.19,15.93,39.02,4.98,3.49,5.74,0.53,14.75,46.23
2021,France,FRA,Europe,1.75,27.93,15.44,39.3,4.85,3.8,6.23,0.7,15.57,45.12
2022,France,FRA,Europe,1.61,27.96,15.41,39.74,5.14,4.08,5.95,0.11,15.28,44.98
2023,France,FRA,Europe,1.24,27.63,15.29,39.57,5.09,4.7,6.48,0.0,16.27,44.15
2024,France,FRA,Europe,0.89,27.5,14.67,39.63,4.87,5.2,7.25,0.0,17.31,43.06
2025,France,FRA,Europe,0.0,27.63,14.39,40.22,4.87,5.4,7.49,0.0,17.76,42.02
2026,France,FRA,Europe,0.25,26.78,13.77,40.44,5.05,6.09,7.61,0.0,18.75,40.81
2000,Italy,ITA,Europe,15.12,40.44,24.53,8.83,4.18,0.0,0.66,6.24,11.08,80.09
2001,Italy,ITA,Europe,13.57,40.0,25.21,11.04,4.57,0.0,0.0,5.61,10.18,78.77
2002,Italy,ITA,Europe,14.1,38.82,24.8,11.15,4.0,0.0,2.03,5.09,11.12,77.73
2003,Italy,ITA,Europe,14.15,38.49,24.34,9.41,5.68,2.03,2.18,3.72,13.62,76.97
2004,Italy,ITA,Europe,14.48,37.67,23.78,9.64,5.72,1.74,1.26,5.72,14.44,75.92
2005,Italy,ITA,Europe,13.46,38.59,24.74,10.6,5.01,0.17,2.82,4.6,12.6,76.8
2006,Italy,ITA,Europe,14.32,36.84,24.88,9.32,4.03,1.36,4.09,5.16,14.64,76.04
2007,Italy,ITA,Europe,12.53,39.19,25.33,10.3,4.75,2.1,0.46,5.34,12.65,77.05
2008,Italy,ITA,Europe,12.99,39.28,23.17,9.23,4.16,2.61,1.86,6.7,15.34,75.44
2009,Italy,ITA,Europe,11.68,37.42,26.82,10.07,5.45,2.04,2.11,4.43,14.02,75.92
2010,Italy,ITA,Europe,13.4,37.73,25.39,9.06,5.94,1.73,2.29,4.46,14.42,76.52
2011,Italy,ITA,Europe,12.46,37.72,24.04,9.13,3.29,3.39,4.3,5.67,16.65,74.22
2012,Italy,ITA,Europe,11.14,35.6,25.19,9.17,5.46,3.14,5.0,5.3,18.9,71.93
2013,Italy,ITA,Europe,10.52,38.43,24.47,9.33,4.94,2.67,4.8,4.83,17.24,73.43
